Year,Anchoveta,South American pilchard,Inca scad,Araucanian herring,Chub mackerel,Peruvian hake,Patagonian grenadier,South Pacific hake,Eastern Pacific bonito,Jumbo flying squid,Southern hake,Mixed group
1950,904,0,596,12561,1748,0,0,21150,26432,0,0,41609
1951,6300,0,487,6676,836,0,0,26903,42020,0,0,44422
1952,12808,0,765,3865,2508,0,0,39204,42060,0,0,43708
1953,29970,0,938,4568,1444,0,0,33787,35260,0,0,39938
1954,35332,0,794,13615,2660,0,0,28719,43553,0,0,56836
1955,53038,0,473,19500,988,0,0,45698,60844,0,0,72404
1956,103816,0,1070,7993,2812,0,0,38017,67052,0,0,79153
1957,276091,0,1860,14142,6536,0,0,39573,46029,0,0,78086
1958,620427,0,1970,13000,9575,0,0,36753,53154,0,0,90609
1959,1609856,0,3940,30568,7144,0,0,37823,64470,0,0,82406
1960,2773648,0,2199,20730,6945,0,0,38406,75297,0,0,65668
1961,4198980,1990,1848,23278,8404,0,0,36510,82934,0,0,64353
1962,5682426,2211,3396,21609,9832,0,0,45455,70235,0,0,78650
1963,5725548,1622,2927,24507,5837,0,0,49588,70757,0,0,83674
1964,7828953,7518,4511,32852,1478,0,0,35538,66070,0,0,93601
1965,6122965,5454,5922,37771,2808,0,0,51532,56131,0,0,83470
1966,7696381,1400,8700,54549,5615,0,0,45893,64393,0,0,107877
1967,8399401,1548,10656,107516,9900,17862,0,39087,55110,0,0,128364
1968,9003673,1327,9610,82130,5320,16313,0,62130,45172,0,0,113570
1969,7749268,811,8308,102333,5320,13943,0,40448,49684,1,0,104876
1970,10412800,10325,36611,50244,10833,15675,0,42927,47121,346,0,133015
1971,8979407,18472,54502,139929,12065,23877,0,32086,56699,277,0,111461
1972,3843263,14052,42700,106638,6969,11483,0,43740,52355,0,0,133170
1973,1363748,146748,69482,117442,50342,121116,0,41638,29923,0,0,291768
1974,3175025,243749,154202,160563,47422,99625,0,27354,6420,0,0,145767
1975,2648051,196995,110649,58698,26839,77370,0,24036,3828,0,0,121464
1976,3434966,278648,148042,24696,57321,84574,0,28398,3218,496,0,124108
1977,644939,926245,469910,11533,109374,97330,0,30733,5711,1,0,161840
1978,1136256,1596570,472397,23599,189975,276585,9,16599,5537,0,0,203248
1979,1125202,2751748,372671,16251,150949,84712,10745,15463,7053,35,39962,197772
1980,658717,2710531,356247,29267,131706,145245,14031,15428,7328,0,33175,184593
1981,1247723,2359379,463951,32061,97674,63149,18078,15916,9035,42,35163,184829
1982,1456034,2738521,612351,40437,51185,24149,13938,12831,14242,614,40350,189117
1983,100808,3443612,445428,16300,25498,5318,17167,12297,16616,1,27963,191576
1984,77933,4405195,697846,33605,136460,11034,20462,16150,21797,5,28541,225106
1985,790963,4795389,625873,34201,59339,16744,14339,13949,7533,176,28681,246164
1986,4001457,3651864,544565,33867,33166,35498,28408,18161,4055,602,34861,288637
1987,1685283,3842894,744360,28208,39002,29186,100821,15922,14856,58,51244,262025
1988,2915618,3953210,933191,26825,40200,71876,165539,38164,26241,589,62865,250307
1989,4379820,3376608,1051172,144307,64362,80201,173729,35181,20150,2069,51967,285659
1990,3058763,3255291,1095536,263062,213229,116005,97759,55143,30155,3938,47202,273276
1991,3252614,3008259,1159798,513859,149037,66501,128613,33248,18107,11022,36487,203333
1992,4957410,2074233,1069332,397047,59007,27714,167375,30455,23024,18818,34587,227809
1993,6753992,1149141,1064609,214439,80697,80835,64667,31241,20844,20889,18261,264021
1994,9959498,854202,1333007,299753,44955,123673,63593,33110,16293,29761,21021,255843
1995,6889346,732485,1508342,111306,96981,165117,161538,36657,14759,14643,22339,347211
1996,7110711,852671,1323341,392353,105506,214086,289631,43051,17551,3278,21545,265566
1997,6192424,497739,1399455,387509,272453,162175,56089,42597,13471,11545,22384,306646
1998,1399611,695013,794035,278948,337102,75062,276890,38966,4360,412,20382,1103059
1999,7028352,363258,523416,687032,455964,33830,242609,50457,1089,40888,22377,617870
2000,9042130,221772,573209,634662,107064,75970,72143,53546,423,34444,26697,373888
2001,5770495,74834,1052146,285143,330599,113976,126351,58922,1013,50469,26145,466911
2002,7726980,22005,600390,305127,210931,42150,103932,56413,693,102532,21274,328904
2003,4942425,16186,615522,267075,380947,6985,67766,56074,1711,108974,20842,317827
2004,8566928,5532,605702,312789,360581,35224,55631,35779,1134,214093,28777,309191
2005,8182944,3965,523316,254326,194476,27887,63036,23061,2353,246242,28548,305310
2006,5554869,1133,648822,386591,276660,26831,57958,23316,10133,339192,28578,292027
