year,species,tons,lb,dollars
1950,"COD, ATLANTIC",26077.5,57490400,3622665
1951,"COD, ATLANTIC",22690.3,50023000,3634700
1952,"COD, ATLANTIC",19815.8,43685900,3157820
1953,"COD, ATLANTIC",14814.7,32660400,2205968
1954,"COD, ATLANTIC",16702.9,36823200,2182459
1955,"COD, ATLANTIC",16139.8,35581900,2156790
1956,"COD, ATLANTIC",15933.6,35127300,2225148
1957,"COD, ATLANTIC",15453.5,34068800,2177647
1958,"COD, ATLANTIC",18762,41362700,3041210
1959,"COD, ATLANTIC",21083.9,46481600,3312408
1960,"COD, ATLANTIC",18317.1,40381800,2698022
1961,"COD, ATLANTIC",21132.9,46589500,2993944
1962,"COD, ATLANTIC",21278.2,46910000,3292632
1963,"COD, ATLANTIC",19131.6,42177600,3105384
1964,"COD, ATLANTIC",17575.7,38747493,2670706
1965,"COD, ATLANTIC",16350.9,36047284,2877254
1966,"COD, ATLANTIC",17044.4,37576100,3196559
1967,"COD, ATLANTIC",20139.5,44399500,3577462
1968,"COD, ATLANTIC",22324.3,49216200,3463465
1969,"COD, ATLANTIC",26082.6,57501600,4836909
1970,"COD, ATLANTIC",24143.2,53226100,5740382
1971,"COD, ATLANTIC",24586.4,54203100,6516236
1972,"COD, ATLANTIC",21149.9,46627000,7940962
1973,"COD, ATLANTIC",22870.4,50420000,9045422
1974,"COD, ATLANTIC",26605.6,58654800,11306463
1975,"COD, ATLANTIC",25462.1,56133700,13214202
1976,"COD, ATLANTIC",25415.1,56030100,14625769
1977,"COD, ATLANTIC",34881.8,76900500,17340558
1978,"COD, ATLANTIC",39587.3,87274200,21621126
1979,"COD, ATLANTIC",45021,99253280,28891572
1980,"COD, ATLANTIC",53422.2,117774600,31790379
1981,"COD, ATLANTIC",46487.4,102486200,34856120
1982,"COD, ATLANTIC",53028.5,116906600,39116027
1983,"COD, ATLANTIC",50888.6,112189100,38190883
1984,"COD, ATLANTIC",43856.4,96685805,36137916
1985,"COD, ATLANTIC",37432,82522500,35013361
1986,"COD, ATLANTIC",27638.1,60930900,36027727
1987,"COD, ATLANTIC",26825.3,59139000,44180015
1988,"COD, ATLANTIC",34603.3,76286500,43046947
1989,"COD, ATLANTIC",35857.8,79052000,48086272
1990,"COD, ATLANTIC",43624.4,96174274,61444407
1991,"COD, ATLANTIC",42178.5,92986656,74296075
1992,"COD, ATLANTIC",27918.5,61549189,52191065
1993,"COD, ATLANTIC",22956.5,50609861,44957832
1994,"COD, ATLANTIC",17775.5,39187760,36575402
1995,"COD, ATLANTIC",13632.7,30054658,28588556
1996,"COD, ATLANTIC",14238.7,31390613,26613886
1997,"COD, ATLANTIC",12979.5,28614635,24445400
1998,"COD, ATLANTIC",11114,24502026,25460537
1999,"COD, ATLANTIC",9724.1,21437835,23932403
2000,"COD, ATLANTIC",11371.7,25070131,26397506
2001,"COD, ATLANTIC",15063.4,33208721,32095090
2002,"COD, ATLANTIC",13086.4,28850296,30638911
2003,"COD, ATLANTIC",10704.9,23599993,27535027
2004,"COD, ATLANTIC",7283.5,16057292,21672070
2005,"COD, ATLANTIC",6311,13913331,20847327
2006,"COD, ATLANTIC",5722.8,12616488,20469214
2007,"COD, ATLANTIC",7657.3,16881343,27070835
2008,"COD, ATLANTIC",8065.8,17781858,26908277
2009,"COD, ATLANTIC",8166.2,18003231,23020926
2010,"COD, ATLANTIC",8039.7,17724299,28140922
