Year,Atlantic cod,Atlantic herring,Silver hake,Redfishes,American lobster,Queen crab,Haddock,Atlantic mackerel,American sea scallop,Saithe,American plaice,Mixed group
1950,147928,49062,0,3857,11841,0,9299,4315,220,4707,2583,33299
1951,129185,45467,0,5318,10609,0,8328,4054,123,2189,2176,26018
1952,152012,49118,0,5468,10142,0,15710,3881,204,3384,2515,27907
1953,147092,37125,0,6637,9921,0,14425,3464,286,3786,2548,25976
1954,187810,34375,0,6678,9943,0,21682,3897,282,13427,1733,21479
1955,171315,31046,0,8700,10282,0,32346,3924,321,15019,1940,21201
1956,184775,30297,0,11480,10983,0,29562,3127,481,16653,2249,22615
1957,183020,33667,0,18708,9441,0,25884,2728,601,14078,3232,16588
1958,166779,35982,0,35553,9113,0,19564,2238,9380,5558,3292,15239
1959,182894,36901,0,47050,9674,0,18822,1318,8979,5875,3514,16761
1960,198098,37698,18099,29923,10609,0,17326,1809,10021,7722,3442,18574
1961,214604,29982,16335,31855,10095,0,20110,1962,16314,6692,3091,26096
1962,236685,45275,25868,34276,9861,0,20689,2262,20242,7781,2028,24798
1963,192215,62924,119181,47773,13831,105,29932,5015,5919,13748,9042,65687
1964,197820,72148,70323,46252,12637,399,31336,8656,6050,15444,9654,53730
1965,193386,89881,49794,61975,12567,242,57695,9063,7388,14223,13562,62183
1966,182769,103215,6505,89994,11448,225,35927,10259,3768,12329,17248,58131
1967,165111,127932,2098,81804,10901,598,22240,8900,5457,7319,14538,42137
1968,209852,207667,3484,96075,11615,0,23085,18336,11617,8599,18669,67695
1969,172905,310020,45580,103179,11740,8208,21104,15265,12415,6931,15962,62130
1970,230103,296853,166078,107854,12187,5492,15949,16809,11708,5731,16689,57014
1971,192889,227735,124963,122089,11452,5269,18803,19948,7608,5562,16910,99232
1972,180810,143499,110955,113328,10122,5305,9618,17936,8106,9203,14050,63045
1973,162568,133476,281647,151263,10361,7275,9139,31809,5361,13804,13919,81928
1974,149939,118039,90927,85512,9147,7196,7347,36160,2630,11460,17443,99127
1975,130950,123439,106150,85583,11420,4543,8672,27625,3751,11688,15133,108378
1976,130152,110588,93258,51183,10696,7065,7921,24835,8495,10936,18933,88598
1977,108775,109809,33125,30397,11627,9321,11048,9462,5087,10853,15952,72804
1978,138233,121166,47006,27004,13022,13303,15328,9837,4818,11418,14635,91169
1979,170360,90785,51061,25859,14618,19084,12643,13221,7881,14395,14958,105898
1980,198268,93771,40629,25668,13835,18711,23895,14230,14855,15966,13727,85678
1981,209481,77820,41997,35615,14980,22931,28954,10531,13924,18909,12566,65653
1982,210966,71916,60164,37666,15770,33702,22660,13316,13797,16509,10258,51829
1983,206723,72107,34958,32812,19191,29393,17809,9859,13543,15072,10643,44040
1984,199738,66324,74178,39718,19316,32173,14764,10666,9838,15962,13871,46100
1985,199810,94042,75475,36341,22194,34590,17302,12685,9551,22503,12696,51103
1986,185866,107098,82556,41001,25854,32542,21455,16414,12611,25225,11112,61946
1987,155801,132935,61687,50662,27373,19829,9065,15322,11433,25307,12416,69592
1988,136770,141643,70856,52323,28253,19515,8702,17465,17982,22659,10384,69837
1989,134862,119451,84234,58155,30949,13636,10890,16054,28529,23826,9022,81269
1990,125999,145471,67744,63229,32890,14658,9154,17762,22359,19432,7249,74934
1991,108226,114109,59274,73051,32729,18498,8213,21651,17600,18679,6908,75682
1992,95323,112950,25249,73493,29100,20314,9190,18947,21037,14478,6593,63043
1993,30136,105536,22994,50124,28322,24522,3705,17963,21114,7395,2653,61575
1994,6998,124227,8012,29471,27430,32203,1750,17091,22828,5587,2625,64827
1995,4839,126052,16525,9834,27360,33003,2236,14622,25108,4209,2573,62733
1996,5688,119137,24664,5631,26274,27928,2523,18141,14847,3672,1902,78379
1997,10195,111052,14710,7032,25483,26108,2577,18766,11781,4676,2588,87668
1998,10525,109759,16682,5655,26530,23504,3168,16726,12719,5669,2226,101971
1999,16817,119446,10878,7648,27599,27391,2601,14930,12993,3350,2676,101648
2000,15634,119298,9496,6504,28407,38133,2733,12467,14362,2122,2020,101358
2001,14564,114474,13331,7547,31010,38456,3350,21032,16476,2180,1539,85844
2002,13651,109294,14385,6661,28149,47160,3176,25307,19826,2342,960,92945
2003,4485,111397,10642,5808,30721,38931,3365,38113,20233,2877,718,77267
2004,8013,100580,13252,4495,28709,46744,2533,32586,23187,2706,553,107708
2005,9267,101961,11031,4823,30406,49141,2185,24254,15298,2478,537,99636
2006,9961,96927,12185,5563,31492,41132,1854,23807,13413,1500,624,103496
