"","penalty_fn","ignore_cost","ignore_fraction","assume_cost","assume_fraction","normalize_optimal_free","normalize_optimal_cost","sigma_g","reduction","L2","L1"
"1","L1",13381.3789921365,0.791004619964917,16939.2355556939,1.00131784557494,16916.9416390134,13354.1286499013,0.05,0.1,1,1
"2","L2",11473.1012537699,0.678201858148575,15368.6395155143,0.908476238995322,16916.9416390134,13833.7204577816,0.05,0.1,1,1
"3","fixed",14135.1234571952,0.835560218792573,16875.9513383841,0.997576967426855,16916.9416390134,14326.8604292932,0.05,0.1,1,1
"4","L1",10312.533805577,0.609598000964577,16845.0153517861,0.995748268879676,16916.9416390134,9843.9899137321,0.05,0.2,2,1
"5","L2",7137.31695529157,0.421903504048963,14433.8628979687,0.853219406082341,16916.9416390134,13305.7603446049,0.05,0.2,2,1
"6","fixed",10953.3052753771,0.647475501725254,16584.2222093501,0.98033217606568,16916.9416390134,11525.6363507643,0.05,0.2,2,1
"7","L1",6179.21176888354,0.365267664849845,16788.4153405671,0.992402509792316,16916.9416390134,4713.25401300573,0.05,0.3,3,1
"8","L2",-7441.61016616876,-0.439890987683442,13301.5081765299,0.786283269184682,16916.9416390134,12625.0742165217,0.05,0.3,3,1
"9","fixed",8034.5173965892,0.474939121268835,16024.9436690761,0.947271913034194,16916.9416390134,9327.56993170234,0.05,0.3,3,1
"10","L1",14973.0208417974,0.809732305499809,18451.1656295544,0.997828363577193,18491.3220580415,15143.6910469941,0.2,0.1,1,2
"11","L2",12541.2922766625,0.678225831408769,17630.6517157626,0.953455445771948,18491.3220580415,14973.2594446971,0.2,0.1,1,2
"12","fixed",14465.8675125869,0.782305746835231,18420.031365414,0.996144640583097,18491.3220580415,15547.3040926867,0.2,0.1,1,2
"13","L1",11526.92774759,0.623369584468255,18274.9678026226,0.988299687024013,18491.3220580415,12166.2660916352,0.2,0.2,2,2
"14","L2",8154.80094584494,0.441006917744889,16458.9473494132,0.890090351449781,18491.3220580415,14111.1472940154,0.2,0.2,2,2
"15","fixed",10297.3826641021,0.556876497623055,18259.5612001364,0.987466506874003,18491.3220580415,12602.9955435707,0.2,0.2,2,2
"16","L1",6440.60344332283,0.348304108441071,17885.3909868062,0.967231598187877,18491.3220580415,8108.30584972103,0.2,0.3,3,2
"17","L2",-5229.90036291951,-0.282829986222923,14894.0659521047,0.805462470739222,18491.3220580415,13179.373275905,0.2,0.3,3,2
"18","fixed",5781.82710854653,0.312677865346688,17929.8857503799,0.969637849262517,18491.3220580415,9616.35039684453,0.2,0.3,3,2
"19","L1",19803.8984280104,0.834759106407105,23743.284386039,1.00080915529372,23724.0879147142,19906.2396529943,0.5,0.1,1,3
"20","L2",14900.0974163107,0.628057755892457,23551.5794849436,0.992728553763972,23724.0879147142,17817.7206579565,0.5,0.1,1,3
"21","fixed",19636.8151874415,0.827716338686398,23782.022865309,1.0024420306822,23724.0879147142,20542.022865309,0.5,0.1,1,3
"22","L1",15938.5238660644,0.671828730502174,-299999976471.527,-12645374.5050178,23724.0879147142,-299999983816.727,0.5,0.2,2,3
"23","L2",8584.62248258364,0.361852582634347,22496.0790520174,0.948237889392783,23724.0879147142,16627.1912653965,0.5,0.2,2,3
"24","fixed",14665.5020561283,0.618169267828099,-299999976708.299,-12645374.514998,23724.0879147142,-299999983164.865,0.5,0.2,2,3
"25","L1",10216.0301946565,0.430618459659318,-299999976767.669,-12645374.5175005,23724.0879147142,-299999988753.361,0.5,0.3,3,3
"26","L2",-10584.4298252006,-0.446146965196326,19839.1190665088,0.836243700403933,23724.0879147142,14962.2198290699,0.5,0.3,3,3
"27","fixed",9476.00710663341,0.399425560244876,-599999977068.356,-25290750.0269472,23724.0879147142,-599999986390.376,0.5,0.3,3,3
